85060,12018,42,1,14/02/2011,null,1,L,-,105.00,0.00,0.00,0.00,0.00,A,0.00,105.00
87327,12355,46,1,02/11/2011,null,7,L,-,150.00,0.00,0.31,0.00,0.00,A,60.80,88.89
87329,12355,42,1,02/01/2012,null,9,L,-,150.00,0.00,0.31,0.00,0.00,A,60.80,88.89
87335,12355,29,1,02/07/2012,null,15,L,-,150.00,0.00,0.31,0.00,0.00,A,60.80,88.89
92014,13075,42,1,30/09/2011,null,1,L,-,200.00,0.00,8.89,0.00,0.00,A,80.00,111.11
92028,13075,29,1,07/06/2013,null,15,L,-,200.00,0.00,8.89,0.00,4.00,A,80.00,111.11
96787,13840,46,1,13/01/2012,null,1,L,-,975.00,0.00,0.00,0.00,0.00,A,0.00,975.00
108080,15408,29,1,15/11/2012,null,2,L,-,358.00,0.00,0.33,0.00,0.00,A,116.00,241.67
108082,15408,46,1,15/01/2013,null,4,L,-,358.00,0.00,0.33,0.00,0.00,A,116.00,241.67
109792,15634,46,1,05/12/2012,null,2,L,-,180.00,0.00,0.24,0.00,5.00,A,29.96,149.80
111970,15914,29,1,05/09/2013,null,9,L,-,472.00,0.00,0.44,0.00,3.00,A,151.64,319.92
120549,17051,29,1,28/02/2014,null,8,L,-,277.50,0.00,0.46,0.00,0.00,A,67.16,209.88
124749,17646,52,1,15/02/2014,null,4,L,-,204.00,0.00,1.33,0.00,0.00,A,76.00,126.67
130966,18546,29,1,28/02/2015,null,9,L,-,290.00,0.00,1.40,0.00,0.00,A,93.60,195.00
131839,18651,29,1,17/06/2014,null,0,L,-,200.00,0.00,0.00,0.00,0.00,A,0.00,200.00
132083,18683,1,1,15/07/2014,null,1,L,-,210.00,0.00,0.00,0.00,0.00,A,0.00,210.00
132912,18809,52,1,25/07/2014,null,0,L,-,200.00,0.00,0.00,0.00,0.00,A,0.00,200.00
134923,19093,29,1,21/10/2014,null,0,L,-,200.00,0.00,0.00,0.00,0.00,A,0.00,200.00
137186,19436,29,1,25/03/2015,null,2,L,-,298.00,0.00,1.23,0.00,0.00,A,55.10,241.67
5316,574,1,1,24/03/2006,null,0,L,-,200.00,0.00,0.00,0.00,0.00,A,0.00,200.00
5325,574,1,1,24/12/2006,null,9,L,-,175.00,0.00,1.06,0.00,2.00,A,57.36,116.58
8474,990,1,1,22/12/2006,null,6,L,-,89.00,0.00,0.13,0.00,0.00,A,17.20,71.67
11278,1389,1,1,04/12/2006,null,3,L,-,196.00,0.00,0.82,0.00,0.00,A,37.01,158.17
11280,1389,1,1,04/02/2007,null,5,L,-,196.00,0.00,0.82,0.00,0.00,A,37.01,158.17
12192,1531,1,1,28/02/2007,null,5,L,-,144.00,0.00,1.27,0.00,0.00,A,28.73,114.00
15172,1921,1,1,22/02/2007,null,2,L,-,231.00,0.00,0.37,0.00,0.00,A,47.30,183.33
15175,1921,1,1,22/05/2007,null,5,L,-,231.00,0.00,0.37,0.00,0.00,A,47.30,183.33
16171,2032,1,1,29/04/2007,null,4,L,-,116.00,0.00,0.51,0.00,2.00,A,30.57,84.92
16747,2113,2,1,31/10/2007,null,9,L,-,250.00,0.00,0.67,0.00,0.00,A,66.00,183.33
22956,2977,1,1,21/12/2007,null,7,L,-,180.00,0.00,0.86,0.00,0.00,A,41.76,137.38
24898,3256,41,1,03/12/2007,null,5,L,-,129.00,0.00,0.68,0.00,0.00,A,49.60,78.72
26723,3498,1,1,29/02/2008,null,2,L,-,210.00,0.00,0.46,0.00,0.00,A,67.96,141.58
32893,4366,41,1,22/01/2008,null,1,L,-,165.00,0.00,0.00,0.00,0.00,A,0.00,165.00
35438,4736,1,1,11/03/2008,null,1,L,-,200.00,0.00,0.00,0.00,0.00,A,0.00,200.00
36282,4873,41,1,27/03/2008,null,1,L,-,339.00,0.00,0.71,0.00,0.00,A,66.79,271.50
36639,4930,1,1,02/04/2008,null,1,L,-,285.00,0.00,0.28,0.00,0.00,A,79.89,204.83
36643,4930,1,1,02/08/2008,null,5,L,-,285.00,0.00,0.28,0.00,0.00,A,79.89,204.83
